,g_id_right,popTot,id,avg,lamb
447,486.0,403,141,11.09765625,0.09010911650827173
448,487.0,2413,761,1.9669251824817517,0.508407746723878
449,488.0,45,29,45.11875,0.022163734589278294
450,489.0,2363,724,2.0201310861423223,0.49501738122827343
451,490.0,5625,1494,1.0169036334913113,0.9833773496970638
452,491.0,2703,521,2.769230769230769,0.3611111111111111
453,492.0,3095,346,4.571778711484593,0.21873324653442602
454,493.0,2955,477,3.1677599611273077,0.3156804847183342
455,494.0,305,142,12.785784313725491,0.07821186213242341
456,495.0,589,104,17.330645161290324,0.057701256398324796
457,496.0,52,104,13.734508547008545,0.07280930341099141
458,497.0,3,7,121.34027777777776,0.008241286556401306
461,501.0,4,10,148.18333333333334,0.0067483972556517825
463,504.0,32,7,128.425,0.007786645902277593
464,505.0,51,14,110.34259259259258,0.009062683561298985
465,506.0,239,25,55.0625,0.018161180476730987
466,507.0,490,75,20.35377358490566,0.04913093858632677
468,509.0,118,20,66.99166666666667,0.014927229754944643
469,510.0,158,30,46.97916666666667,0.0212860310421286
470,511.0,19,21,76.99107142857143,0.012988519076887394
471,512.0,29,24,39.08333333333333,0.025586353944562903
472,513.0,25,159,10.628300330033005,0.09408842137949772
473,514.0,331,148,10.273412698412697,0.09733863803159644
474,515.0,408,105,14.66554054054054,0.0681870536742686
475,516.0,106,78,22.263020833333332,0.044917534214528015
477,519.0,16,7,176.13541666666666,0.005677449878762789
478,520.0,108,28,48.9563492063492,0.020426359730890818
481,523.0,57,10,123.73214285714286,0.008081974310867369
482,524.0,17,8,47.11666666666666,0.021223912274495934
483,525.0,10,32,43.01909722222223,0.023245490132773716
484,526.0,56,9,330.6666666666667,0.0030241935483870967
485,527.0,27,19,62.05059523809524,0.016115880857595088
486,528.0,37,11,88.71354166666667,0.011272236247284682
487,529.0,105,21,55.870370370370374,0.017898574743122307
489,531.0,62,20,64.025,0.01561889886762983
490,532.0,94,17,68.25347222222221,0.014651269267945263
493,537.0,625,76,20.9109477124183,0.047821840203164684
494,538.0,965,254,5.973066298342541,0.16741819863568044
495,539.0,7446,1630,0.9524710596616207,1.0499006661213042
496,540.0,1835,2533,0.9017454954954955,1.1089603496721823
497,541.0,3656,2898,0.5000199936020473,1.999920028789636
498,542.0,3136,554,2.6309523809523814,0.3800904977375565
499,543.0,2624,357,4.107889733840304,0.24343399282656486
500,544.0,298,35,36.70982142857143,0.02724066642344643
501,546.0,4,10,108.76666666666668,0.009193993257738276
504,552.0,34,8,110.9513888888889,0.009012956124428866
510,558.0,1970,508,2.920945945945946,0.34235484617164
511,559.0,984,474,3.007776230269266,0.3324715415782366
512,560.0,598,107,12.199509803921568,0.08197050669023989
516,564.0,119,21,100.1375,0.009986268880289601
517,565.0,242,77,18.989583333333336,0.05266044980800877
518,566.0,106,17,60.329545454545446,0.016575626294970808
519,567.0,50,12,138.35714285714283,0.0072276716572018595
520,568.0,9,6,116.04166666666667,0.008617594254937163
521,569.0,56,6,81.20833333333333,0.012314007183170857
522,570.0,57,24,61.1015625,0.016366193581383456
523,572.0,213,49,25.27708333333333,0.03956152641556087
524,573.0,246,54,21.05319148936171,0.0474987367357251
525,574.0,192,44,29.018518518518515,0.03446075303126995
526,575.0,173,19,87.30208333333333,0.011454480372270613
529,578.0,123,14,93.07575757575756,0.010743936187530523
530,579.0,48,14,107.16203703703704,0.009331662850477384
531,582.0,997,268,5.832207207207206,0.1714616721374783
532,583.0,11159,2639,0.5930063706201986,1.6863225245862792
533,584.0,14162,2747,0.5649883949294768,1.7699478590614632
534,585.0,9635,3328,0.48686762880198636,2.053946372365433
535,586.0,2258,1920,0.7367358708189158,1.3573385518591
